sp_name,species_author,status,family
Agobardus brevitarsus,"Bryant, 1943",accepted,Salticidae
Agobardus cordiformis,"Zhang & Maddison, 2012",accepted,Salticidae
Agobardus cubanus,"(Bryant, 1940)",accepted,Salticidae
Agobardus fimbriatus,"Bryant, 1940",accepted,Salticidae
Agobardus gramineus,"Zhang & Maddison, 2012",accepted,Salticidae
Agobardus minutus,"(Bryant, 1940)",accepted,Salticidae
Agobardus modestus,"(Bryant, 1943)",accepted,Salticidae
Agobardus mundus,"Bryant, 1940",accepted,Salticidae
Agobardus obscurus,"Bryant, 1943",accepted,Salticidae
Agobardus oveido,"Zhang & Maddison, 2012",accepted,Salticidae
Agobardus perpilosus,"Bryant, 1943",accepted,Salticidae
Agobardus phylladiphilus,"Zhang & Maddison, 2012",accepted,Salticidae
Agobardus prominens,"Bryant, 1940",accepted,Salticidae
Agorioides cherubino,"Maddison & Szűts, 2019",accepted,Salticidae
Agorioides papagena,"Maddison & Szűts, 2019",accepted,Salticidae
Agorius baloghi,"Szüts, 2003",accepted,Salticidae
Agorius borneensis,"Edmunds & Prószyński, 2001",accepted,Salticidae
Agorius cinctus,"Simon, 1901",accepted,Salticidae
Agorius constrictus,"Simon, 1901",accepted,Salticidae
Agorius formicinus,"Simon, 1903",accepted,Salticidae
Agorius gracilipes,"Thorell, 1877",accepted,Salticidae
Agorius kerinci,"Prószyński, 2009",accepted,Salticidae
Agorius lindu,"Prószyński, 2009",accepted,Salticidae
Agorius marieae,"Freudenschuss & Seiter, 2016",accepted,Salticidae
Agorius saaristoi,"Prószyński, 2009",accepted,Salticidae
Agorius semirufus,"Simon, 1901",accepted,Salticidae
Agorius tortilis,"Cao & Li, 2016",accepted,Salticidae
Aillutticus brutus,"(Badcock, 1932)",nomen dubium,Salticidae
Aillutticus knysakae,"Ruiz & Brescovit, 2006",accepted,Salticidae
Aillutticus montanus,"Ruiz & Brescovit, 2006",accepted,Salticidae
Aillutticus nitens,"Galiano, 1987",accepted,Salticidae
Aillutticus pinquidor,"Galiano, 1987",accepted,Salticidae
Aillutticus raizeri,"Ruiz & Brescovit, 2006",accepted,Salticidae
Aillutticus rotundus,"Galiano, 1987",accepted,Salticidae
Aillutticus soteropolitano,"Ruiz & Brescovit, 2006",accepted,Salticidae
Aillutticus viripotens,"Ruiz & Brescovit, 2006",accepted,Salticidae
Ajaraneola mastigophora,"Wesolowska & Russell-Smith, 2011",accepted,Salticidae
Akela charlottae,"Peckham & Peckham, 1896",accepted,Salticidae
Akela fulva,"Dyal, 1935",accepted,Salticidae
Akela ruricola,"Galiano, 1999",accepted,Salticidae
Akela striata,"(Chickering, 1946)",synonym,Salticidae
Akeloides,"Mello-Leitão, 1944",synonym,Salticidae
Albionella guianensis,"Caporiacco, 1954",nomen dubium,Salticidae
Albionella propria,"Chickering, 1946",accepted,Salticidae
Alcimonotus,"Simon, 1902",synonym,Salticidae
Alcmena amabilis,"C. L. Koch, 1846",accepted,Salticidae
Alcmena psittacina,"C. L. Koch, 1846",accepted,Salticidae
Alcmena trifasciata,"Caporiacco, 1954",nomen dubium,Salticidae
Alcmena tristis,"Mello-Leitão, 1945",accepted,Salticidae
Alcmena vittata,"Karsch, 1880",accepted,Salticidae
Alfenus calamistratus,"Simon, 1902",accepted,Salticidae
Alfenus chrysophaeus,"Simon, 1903",accepted,Salticidae
Allococalodes alticeps,"Wanless, 1982",accepted,Salticidae
Allococalodes cornutus,"Wanless, 1982",accepted,Salticidae
Allococalodes madidus,"Maddison, 2009",accepted,Salticidae
Allodecta maxillaris,"Bryant, 1950",accepted,Salticidae
Allohyllus,"Strand, 1911",synonym,Salticidae
Amatorculus cristinae,"Ruiz & Brescovit, 2006",accepted,Salticidae
Amatorculus stygius,"Ruiz & Brescovit, 2005",accepted,Salticidae
Amerotritte,"Mello-Leitão, 1944",synonym,Salticidae
Amphidraus araripe,"Salgado & Ruiz, 2019",accepted,Salticidae
Amphidraus argentinensis,"Galiano, 1997",accepted,Salticidae
Amphidraus auriga,"Simon, 1900",accepted,Salticidae
Amphidraus belzonte,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus bifidus,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus bochica,"Galvis, 2017",accepted,Salticidae
Amphidraus boomerang,"Salgado & Ruiz, 2019",accepted,Salticidae
Amphidraus caxiuanan,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus chie,"Galvis, 2017",accepted,Salticidae
Amphidraus colombianus,"Galvis, 2017",accepted,Salticidae
Amphidraus complexus,"Zhang & Maddison, 2012",accepted,Salticidae
Amphidraus cornipalpis,"Salgado & Ruiz, 2019",accepted,Salticidae
Amphidraus draconicaudatus,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus draconitupan,"Salgado & Ruiz, 2019",accepted,Salticidae
Amphidraus duckei,"Galiano, 1967",accepted,Salticidae
Amphidraus guaitipan,"Galvis, 2017",accepted,Salticidae
Amphidraus guatavita,"Galvis, 2017",accepted,Salticidae
Amphidraus janauari,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus loxodontillus,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus mae,"Galvis, 2017",accepted,Salticidae
Amphidraus manauara,"Salgado & Ruiz, 2019",accepted,Salticidae
Amphidraus mysticetus,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus nigrigenu,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus pae,"Galvis, 2017",accepted,Salticidae
